Business Code,Description,Businss Group Code,Description,Profit Center Code,Description,Category Code,Description,Subcategory Code,Descripiton, Brand Code, Description, Brand Variant, Description, Base Pack Code, Description,CBU Code,Description,CBU_Bar_Code,,Flag2,Flag1
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80030,Annapurna WHEAT Premium Poly 1Kg,100013E,ANNP WHPRE 1KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80030,Annapurna WHEAT Premium Poly 1Kg,100014E,ANNP WHPRE 1KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80030,Annapurna WHEAT Premium Poly 1Kg,100015E,ANNP WHPRE 1KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80030,Annapurna WHEAT Premium Poly 1Kg,100016E,ANNP WHPRE 1KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80030,Annapurna WHEAT Premium Poly 1Kg,100017E,ANNP WHPRE 1KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80030,Annapurna WHEAT Premium Poly 1Kg,100018E,ANNP WHPRE 1KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80030,Annapurna WHEAT Premium Poly 1Kg,100019E,ANNP WHPRE 1KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80030,Annapurna WHEAT Premium Poly 1Kg,100020E,ANNP WHPRE 1KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80030,Annapurna WHEAT Premium Poly 1Kg,100021E,ANNP WHPRE 1KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80030,Annapurna WHEAT Premium Poly 1Kg,100022E,ANNP WHPRE 1KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80030,Annapurna WHEAT Premium Poly 1Kg,100023E,ANNP WHPRE 1KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80030,Annapurna WHEAT Premium Poly 1Kg,100024E,ANNP WHPRE 1KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80030,Annapurna WHEAT Premium Poly 1Kg,100025E,ANNP WHPRE 1KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80034,Annapurna WHEAT Premium Poly 2Kg,100026E,ANNP WHPRE 2KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80034,Annapurna WHEAT Premium Poly 2Kg,100027E,ANNP WHPRE 2KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80034,Annapurna WHEAT Premium Poly 2Kg,100028E,ANNP WHPRE 2KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80034,Annapurna WHEAT Premium Poly 2Kg,100029E,ANNP WHPRE 2KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80034,Annapurna WHEAT Premium Poly 2Kg,100030E,ANNP WHPRE 2KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80034,Annapurna WHEAT Premium Poly 2Kg,100031E,ANNP WHPRE 2KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80034,Annapurna WHEAT Premium Poly 2Kg,100032E,ANNP WHPRE 2KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80034,Annapurna WHEAT Premium Poly 2Kg,100033E,ANNP WHPRE 2KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80034,Annapurna WHEAT Premium Poly 2Kg,100034E,ANNP WHPRE 2KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80034,Annapurna WHEAT Premium Poly 2Kg,100035E,ANNP WHPRE 2KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80034,Annapurna WHEAT Premium Poly 2Kg,100036E,ANNP WHPRE 2KG PCP,0,,0,0
